 Program: FIND Thu Jul 21 12:40:42 2022

 Threshold above background:   50.0
 Approximate FWHM:      3.50000
 Sharpness Limits: Low  0.20  High  1.00
 Roundness Limits: Low -1.00  High  1.00

 No of sources above threshold  5748
 No. of sources rejected by SHARPNESS criteria     439
 No. of sources rejected by ROUNDNESS criteria     760
 No. of sources rejected by CENTROID  criteria       7

             STAR       X       Y     FLUX     SHARP    ROUND
              252  372.64   69.77    506.7     0.47     0.05
              253  689.07   70.42    154.4     0.47     0.50
              254  726.17   70.92     66.8     0.56    -0.48
              255  837.75   70.92     82.3     0.35     0.03
              256  110.90   71.86    180.0     0.39     0.34
              257  432.90   71.51     55.5     0.43    -0.15
              258   60.62   72.66     50.1     0.42     0.28
              259  627.13   73.10     57.8     0.32    -0.03
              260  963.03   73.12    121.4     0.32    -0.57
              261   54.34   74.59    146.3     0.34     0.34
              262   93.42   73.66    142.8     0.56     0.13
              263  391.77   73.81    176.7     0.39     0.02
              264  558.51   74.11     55.4     0.31    -0.32
              265  876.89   73.52    945.5     0.44     0.14
              266  926.14   73.78    123.1     0.43    -0.04
              267  317.83   74.65    187.0     0.39    -0.08
              268  426.66   74.78     52.6     0.52     0.53
              269  661.91   75.05     71.5     0.48    -0.37
              270  894.78   75.02     96.5     0.36     0.02
              271  974.07   74.56     52.0     0.61     0.24
              272  187.53   75.48     77.5     0.27     0.08
              273  325.40   75.26     54.0     0.51     0.06
              274  915.77   75.93     69.8     0.47    -0.30
              275  991.47   76.13    442.9     0.39    -0.10
              276  583.97   76.61    109.1     0.46     0.13
              277  672.62   76.79     85.2     0.58     0.38
              278  769.23   77.22    325.1     0.38     0.13
              279  215.11   77.47   6766.6     0.41    -0.08
              280  283.12   77.71    126.8     0.34    -0.13
              281  778.64   78.11     56.7     0.30     0.24
              282  951.13   77.52    501.1     0.45     0.07
              283   54.65   78.04     90.4     0.39     0.12
              284  146.59   79.29    291.6     0.38     0.12
              285  249.96   78.63     69.0     0.56    -0.38
              286  573.91   78.86   6504.8     0.44     0.10
              287  969.80   78.72    203.6     0.43     0.09
              288   93.72   79.86    645.5     0.43    -0.08
              289  159.84   79.74     64.2     0.40     0.07
              290   87.38   81.25     88.8     0.36    -0.46
              291  123.93   80.60     58.8     0.39    -0.27
              292  242.77   80.82     50.9     0.48     0.46
              293  271.94   81.11     64.2     0.50    -0.15
              294  412.11   80.81    104.6     0.39    -0.98
              295  811.84   80.98     51.1     0.37     0.61
              296  932.99   80.42    114.7     0.41     0.14
              297  263.23   81.65    152.5     0.56    -0.24
              298  431.36   81.78     57.1     0.46     0.26
              299  877.43   81.87    130.0     0.41    -0.21
              300  941.68   82.17    301.5     0.39    -0.11
              301  317.03   83.30     59.4     0.60     0.07
              302  688.06   82.97     52.0     0.44    -0.33
              303  921.24   83.35     68.9     0.45    -0.24
              304    7.47   83.85     63.7     0.39    -0.12
              305  194.96   83.41     99.2     0.54     0.27
              306  346.17   83.84     70.1     0.42    -0.03
              307  740.66   83.63    481.0     0.43     0.03
              308  938.65   83.75    129.2     0.41    -0.64
              309  144.50   84.63     77.1     0.38    -0.54
              310  415.63   84.95    248.0     0.47     0.07
              311  436.90   85.08     96.4     0.43    -0.20
              312  874.12   84.74     86.5     0.43     0.06
              313   80.38   86.09    102.9     0.49     0.18
              314  131.54   85.80    136.1     0.35     0.08
              315  464.74   85.64     81.5     0.41     0.15
              316  766.05   86.30    119.2     0.34     0.43
              317  947.39   86.03     82.5     0.37    -0.34
              318  225.50   87.06     70.5     0.63    -0.28
              319  640.80   86.84     57.6     0.44    -0.56
              320   39.69   87.67    115.2     0.37     0.57
              321  106.52   87.51     84.5     0.44     0.43
              322  398.31   87.53     51.3     0.50     0.44
              323  439.62   87.07     68.4     0.52     0.96
              324  578.51   88.26     53.5     0.39     0.01
              325  663.70   87.76    176.8     0.52     0.03
              326  700.91   87.68     61.0     0.63     0.36
              327  922.18   88.10     55.0     0.46    -0.52
              328   70.27   89.30    124.6     0.39    -0.26
              329  167.99   90.19     69.1     0.56     0.51
              330  213.90   88.91   2502.5     0.40    -0.00
              331  273.89   88.78     67.8     0.49    -0.07
              332  309.91   88.75    184.5     0.43     0.00
              333  321.54   90.72     50.4     0.48     0.89
              334  724.37   89.36     50.8     0.40     0.24
              335  955.77   88.65    163.1     0.40    -0.16
              336  462.82   90.17     52.9     0.49     0.72
              337  471.71   89.90    205.2     0.43    -0.06
              338  737.15   89.88    123.4     0.43     0.15
              339  988.94   90.11     56.5     0.45     0.10
              340  141.31   90.61    125.0     0.48    -0.25
              341  264.66   91.41    166.4     0.39     0.36
              342  322.70   90.58     55.4     0.66     0.40
              343  562.13   90.30     86.7     0.32     0.28
              344  797.01   90.67   1001.3     0.43     0.12
              345   13.75   91.98    122.2     0.37     0.08
              346  350.80   92.20    155.4     0.34    -0.24
              347  689.54   91.37     70.5     0.32    -0.16
              348 1016.44   91.97   1212.7     0.45    -0.23
              349   99.97   92.94    157.1     0.37     0.29
              350  328.01   92.79    130.1     0.39    -0.32
              351  493.89   92.25    103.1     0.47    -0.12
              352  634.87   92.63     65.1     0.43    -0.08
              353  769.71   93.25     73.5     0.33    -0.33
              354   52.11   93.56     52.3     0.71     0.06
              355  233.01   93.40   1194.2     0.41    -0.01
              356  266.58   93.46    142.9     0.46     0.11
              357  571.78   94.12   1796.4     0.40     0.12
              358  706.07   93.66    679.3     0.42     0.19
              359  758.96   93.92    218.8     0.40     0.32
              360  958.72   94.57     92.9     0.27    -0.10
              361  513.24   95.32     52.9     0.34    -0.63
              362  955.29   95.25    189.5     0.43     0.10
              363   31.61   95.35     51.1     0.56     0.33
              364  355.93   95.44     73.7     0.31     0.95
              365  457.25   95.96     65.0     0.48    -0.30
              366  549.41   95.61     52.2     0.41     0.27
              367  585.97   96.22  40842.9     0.39     0.18
              368  971.20   96.08     61.1     0.57     0.16
              369  348.67   96.42    144.1     0.54     0.09
              370  637.95   97.05     53.2     0.35     0.52
              371  307.93   98.10    173.1     0.41    -0.12
              372  477.59   97.74     51.5     0.58    -0.26
              373  728.94   97.78    225.2     0.45     0.03
              374  793.56   98.00    101.4     0.47     0.12
              375  990.23   98.08    563.7     0.40    -0.07
              376  487.76   98.82     64.2     0.47     0.02
              377  559.57   99.08    496.4     0.39     0.10
              378  930.11   99.12    109.1     0.39     0.21
              379   76.15   99.81     56.9     0.41     0.53
              380  100.25   99.99    144.1     0.50    -0.10
              381  414.52  100.80     74.8     0.38     0.62
              382  829.51  101.29     89.8     0.43    -0.33
              383  998.09  100.88     67.8     0.36    -0.04
              384  203.49  102.01    146.6     0.48    -0.31
              385  277.00  101.48   1802.7     0.45     0.01
              386  428.26  101.76     67.9     0.36     0.54
              387  646.73  101.50    147.8     0.43     0.16
              388  678.22  101.73     63.2     0.43     0.72
              389  719.93  102.20    265.1     0.33     0.26
              390  804.35  101.46     52.4     0.44    -0.27
              391  867.81  101.91   3300.0     0.42    -0.02
              392   70.48  102.76    142.4     0.48    -0.31
              393  156.32  102.42     54.2     0.64    -0.08
              394  197.37  102.79    128.4     0.48    -0.46
              395  495.44  102.70     52.8     0.48     0.33
              396   29.67  103.92     84.9     0.49     0.21
              397   63.75  103.68     78.5     0.45    -0.42
              398  838.79  103.67   1043.6     0.45     0.08
              399  946.22  104.18    220.5     0.43    -0.08
              400   90.51  105.24     51.8     0.36     0.30
              401  340.28  105.04    177.5     0.39    -0.25
              402  455.63  104.44    611.5     0.49     0.34
              403  613.81  104.42     79.1     0.49     0.41
