xcentroid	ycentroid	sharpness	roundness1	roundness2	npix	sky	peak	flux	mag
437.43	65.56	0.37	-0.14	-0.12	25.00	0.00	66.42	1.17	-0.17
505.12	65.36	0.35	0.03	0.22	25.00	0.00	88.82	1.46	-0.41
697.77	65.66	0.45	-0.16	0.04	25.00	0.00	206.63	3.03	-1.20
887.52	65.97	0.39	-0.41	-0.17	25.00	0.00	231.81	3.73	-1.43
923.89	65.89	0.42	-0.18	0.01	25.00	0.00	2716.56	43.08	-4.09
954.71	65.66	0.42	0.56	-0.04	25.00	0.00	98.32	1.68	-0.57
453.76	66.43	0.55	0.41	0.26	25.00	0.00	209.63	2.84	-1.13
593.40	66.86	0.42	0.14	0.02	25.00	0.00	869.65	13.08	-2.79
622.08	67.14	0.40	-0.22	0.14	25.00	0.00	104.99	1.84	-0.66
962.89	67.13	0.43	-0.31	0.01	25.00	0.00	211.09	3.31	-1.30
145.68	68.04	0.43	0.17	0.05	25.00	0.00	4086.92	57.45	-4.40
714.84	67.52	0.43	0.10	0.18	25.00	0.00	672.46	10.08	-2.51
996.57	68.48	0.45	-0.31	-0.10	25.00	0.00	131.30	1.80	-0.64
265.11	70.23	0.37	0.42	-0.01	25.00	0.00	436.38	6.01	-1.95
372.55	69.76	0.47	0.37	0.04	25.00	0.00	467.60	6.80	-2.08
689.10	70.28	0.47	0.24	0.44	25.00	0.00	134.69	2.07	-0.79
837.60	70.88	0.35	0.10	-0.02	25.00	0.00	56.40	1.11	-0.11
110.87	71.97	0.39	0.29	0.27	25.00	0.00	194.47	2.42	-0.96
54.12	74.81	0.34	-0.25	0.30	25.00	0.00	175.06	1.96	-0.73
93.38	73.58	0.56	-0.11	0.06	25.00	0.00	177.19	1.92	-0.71
391.76	73.81	0.39	-0.04	0.04	25.00	0.00	150.83	2.37	-0.94
876.84	73.39	0.44	0.03	0.10	25.00	0.00	829.86	12.70	-2.76
926.30	73.77	0.43	-0.67	0.01	25.00	0.00	100.40	1.65	-0.55
317.86	74.57	0.39	0.17	-0.09	25.00	0.00	182.53	2.51	-1.00
894.75	75.08	0.36	-0.07	0.06	25.00	0.00	82.38	1.30	-0.28
187.36	75.46	0.27	0.70	0.01	25.00	0.00	77.24	1.04	-0.04
991.60	76.23	0.39	0.01	-0.07	25.00	0.00	392.17	5.95	-1.94
583.99	76.50	0.46	0.36	0.17	25.00	0.00	90.50	1.46	-0.41
672.57	76.85	0.58	0.40	0.39	25.00	0.00	78.79	1.14	-0.15
769.31	77.36	0.38	0.33	0.13	25.00	0.00	260.62	4.37	-1.60
215.25	77.38	0.41	-0.21	-0.12	25.00	0.00	6799.42	90.86	-4.90
283.26	77.76	0.34	0.21	-0.11	25.00	0.00	124.02	1.70	-0.58
